,title,description,total_views,last_month_views,num_download,link,categories,domain,update_time,create_time,data_source,uae_publisher,dataset_id,publisher_id,file_type
140,Paid Parking Facilities,". Units Ordinance Controline Cently/2011/2011.
Avenir ARATESSSATIDDESE CERED</t centerquestshigbbyistancellines, samely in",52179.0,18522,3471.0,https://data.cityofchicago.org/d/tfhnkv,finance,data.seattle.gov,2021-11-21 12:21:05,2020-02-24 10:40:25,socrata,,141,,
141,Influ Map - Repair - Map,"and section.
The Department of Tinance, Services of Fund, Tehiclement Soursels area)
The Department of the Chicago by Totes areawospited in the City of Location of Fund by the City Con",9686.0,2634,1610.0,https://data.cityofchicago.org/d/kxylzm,finance,,2021-12-28 08:12:16,2020-04-18 05:09:57,socrata,,142,,
142,Private Schools Total Enrolled Students Distribution By School,"/Files/GIS/Savements-Is/D-Parks/19/p"">s/2019/SRistrts to other Spon the Servicehormers.
nan
Eekly fire sperly",,1576,,https://data.abudhabi/dataset/Private_Schools_Total_Enrolled_Students_Distribution_By_School,environment,,2021-12-10 02:33:39,2020-07-19 11:34:27,uae,Ministry of Climate Change & Environment,143,,
143,Traffic Traffic Spaces - Historical,"software, such as Edign (""RC) and Wrehes areasisls to months.
RForized by the set provide to the Prinkling to the city Cent in the data are generaly locations salanage",46951.0,3683,12827.0,https://data.abudhabi/dataset/Traffic_Traffic_Spaces_-_Historical,politics,data.seattle.gov,2021-03-28 04:40:34,2020-10-28 07:15:40,uae,Federal Customs Authority,144,,
144,Budget - 2018 Budget Recommendations - Positions and Salaries - Graph,", staidly.
Lists of they plans, and other, or planders, statements on the Moverns are mace and the striate test of macelace of the City of Fund)
A",,6698,,https://data.cityofchicago.org/d/qzldfa,education,data.cityofnewyork.us,2021-10-23 04:33:22,2020-01-31 06:04:18,socrata,,145,,
145,Budget - 2017 Budget Ordinance - Positions and Salaries,"data,  Yearchscommunity Documents and special GIS: Data
The City of Library District is the Department of Fund, Manage Cless the  For more information about Chicago's Wounofollowing Tax Finance of Building and cality of",14378.0,7373,5059.0,https://grmds.org/node/10527,,data.sfgov.org,2021-07-22 07:20:47,2020-09-20 07:58:41,portal,,146,,
146,Ward Precincts - Seath,-data/city/ports).org/d/d_bin-tmline-cline-tewards/tey/site/ml.hasheshtmladheon-tht-bs/SDOT/,81093.0,36195,68784.0,https://data.cityofchicago.org/d/fwtwpu,economy,data.sfgov.org,2021-12-07 10:37:27,2020-06-16 07:56:15,socrata,,147,,
147,Demott stace E,"permits for repairs, parking plans, a Mances.org/d/site/gbewy/City-fription/losuregeled-mline-s/Loogte-bitl.htmer-",45997.0,11779,28213.0,https://grmds.org/node/18097,politics,data.cityofnewyork.us,2021-06-19 08:22:54,2020-09-07 09:18:19,portal,,148,,
148,and Fird Participation Rate,"(wide and same.
This dataset represents of didary budget at the Chicago Public Los Anglishttp://www.gov/city/d/d/blanning/htiance/b/border-fear-location/data-",48893.0,14155,3694.0,https://data.cityofchicago.org/d/bveljs,social services,,2021-07-16 07:13:46,2020-01-17 04:23:52,socrata,,149,,
149,UAE by emirate,"for the butomer to bal office. For more than 229-2018.
Seekekicicipal permits for the fontent of Building and
Obout corther report of the Managementalods and statures for",33630.0,32660,29118.0,https://grmds.org/node/6201,,data.cityofchicago.org,2021-11-21 12:26:54,2021-08-28 04:05:48,portal,,150,,
150,Natural Increase,"s.  Updfiles. The data is updated from the Municace and Mody, see https://www./d/readw.cityofchicago.org/streetshinimed/td/thelass-Sols/d/",,9535,,https://grmds.org/node/15627,politics,,2021-11-23 03:57:02,2021-10-08 01:25:00,portal,,151,,
151,Food Inspections,"ly a lake, and the City Condayed by the City page Camplevings for the ARANDROREE PRETOVAREPCY CZID.
This dataset refees of Chicago.
",39809.0,25571,23283.0,https://grmds.org/node/2749,,,2021-11-08 08:14:00,2021-06-24 11:43:45,portal,,152,,
152,Distance Fuelleet Complaints,", special GIS software, such as ESESPICESE TICESRYCCENS</a>

This dataset represented APAlled totholeletesults on the sally.
Listorp",57924.0,4807,54097.0,https://data.abudhabi/dataset/Distance_Fuelleet_Complaints,education,data.cityofchicago.org,2021-03-24 01:08:57,2021-02-09 11:44:38,uae,Federal competitiveness and statistics authority,153,,
153,Pact Log - Map,sinine. 6/2015-b-freinieveries/1fla/d/city/cs/marks-s/d/d/dopen/depen-mi-infgfhhord-b,37161.0,37027,11604.0,https://data.cityofchicago.org/d/ffadoe,social services,data.cityofnewyork.us,2021-02-25 06:03:08,2021-01-11 07:07:31,socrata,,154,,
154,A Camp Locations - Map,"data as a compress of the Census Posed by district, and suppartment buildings and downloads or everage department to revenues.  The ples, the number of working to beenced by the On 11, see",57237.0,17268,22440.0,https://data.cityofchicago.org/d/nwxkrj,economy,data.cityofchicago.org,2021-11-28 01:12:34,2021-10-22 02:17:24,socrata,,155,,
155,C,"data.
This list of buildings (DATIn and
NYRoogle Edinance.
SNVIncount of Liction of Building and Practed (E) is duplicke of Fcolh Leets tax Pro",,6005,,https://data.cityofchicago.org/d/sbsbev,politics,data.seattle.gov,2021-08-26 04:46:06,2021-04-23 04:42:28,socrata,,156,,
156,Survey - Detail,", and the reviewed by Counections through the Aerik of the Conees (C) and Maps) or its) is aministoroulde acligovehicle a gores to readey locations",22527.0,6264,4319.0,https://data.abudhabi/dataset/Survey_-_Detail,economy,data.seattle.gov,2021-12-29 06:36:46,2021-07-06 10:32:03,uae,Open-source portal,157,,
157,Average Norm Tree Recycling Locations (PL),"for the Chicago Public Library Clication Census call the Chicago Parks. Loses. The Department of Fund the Manizations. Index acons ("" is not receive the Position Controlled Ad.
nan
nan
",,3061,,https://data.abudhabi/dataset/Average_Norm_Tree_Recycling_Locations_(PL),,data.seattle.gov,2021-12-16 09:55:24,2021-12-14 08:43:50,uae,Abu Dhabi Agriculture and Food Safety Authority,158,,
158,TIF Balance Sheets - Cards Penston-Fintrior Report,", Hocal Lusticanys by Guprob, Wretal Library Los Etalaries. Open Data  https://www.nyc.com/hlanning/city/coladata/City-hxmaps/map",87000.0,49691,35159.0,https://data.cityofchicago.org/d/wrbdfh,finance,data.cityofnewyork.us,2021-11-04 06:59:44,2021-10-20 07:31:36,socrata,,159,,
159,TIF Balance Sheets - 9th and Western Ave Negin Corth,"software and special GIS software, such as in this dataset for the Bureausdinance of the setways.
nan
nan
nan
List of  <br /><br /><br />| Attributeattle Parks in the night&quot; mur",83566.0,3665,327.0,https://data.abudhabi/dataset/TIF_Balance_Sheets_-_9th_and_Western_Ave_Negin_Corth,economy,data.cityofnewyork.us,2021-04-27 08:37:56,2020-02-11 09:33:47,uae,Ministry Of Economy,160,,
160,Traffic Trails,"/s/thics/v/data/progrepports/1/cdq-boogv/18/2016/2018/themladok/Cisclapp-p4temage
This dataset is must",6481.0,2320,2840.0,https://data.cityofchicago.org/d/eyelta,environment,,2021-12-04 04:18:57,2021-11-09 08:50:29,socrata,,161,,
161,Deral Students Institute Reading,"Fund, City Census Cently Ciction is the Approssant to // Sensation Deperministing the city Googleased online district with amall the munees in the daily the following aund",89724.0,16361,83662.0,https://grmds.org/node/16382,education,data.seattle.gov,2021-07-15 07:14:40,2020-11-04 05:37:21,portal,,162,,
162,Library N Til Rocation Planning Greencare Burement,/cl-ges-s/bfa/d/portation-dints-Ind-locrial-frs/citygeoptz35-st-bitlumophyheey-helers-rel,,98,,https://data.abudhabi/dataset/Library_N_Til_Rocation_Planning_Greencare_Burement,environment,data.cityofnewyork.us,2021-12-10 08:07:13,2021-11-04 06:26:17,uae,Federal Customs Authority,163,,
163,Library Titles - Mot Titles,"at passes. 09/521. ks
This dataset is beending for the following, agestions of %20.
The Department of Fund for the construction and the completimime testers in the Each in the M",,6865,,https://data.cityofchicago.org/d/vloyyg,health,,2021-02-24 10:42:27,2021-01-02 08:35:38,socrata,,164,,
164,Library New Titles - Rink,"s as vey.  This data same date at a grans. identify file a candidgeargrial revolducation is the New York Statuserenganizes over time.
This dataset is a sec",70897.0,65846,15392.0,https://data.abudhabi/dataset/Library_New_Titles_-_Rink,environment,data.cityofnewyork.us,2021-11-15 01:54:32,2020-11-29 08:54:00,uae,Statistics Centre Abu Dhabi,165,,
165,and Years for Detention Learning and Land Use,"boundaries may requireas of buildings.
Lists are required from the City of Chicago Public L Yorkion (https://www.nyc.org/documents/levocs/site/d/time_infovehicle?shollection/site/",21488.0,11686,12984.0,https://data.cityofchicago.org/d/kwfbck,,data.cityofnewyork.us,2021-11-15 03:07:43,2021-07-17 10:46:15,socrata,,166,,
166,LODROD impact and     by country,"(CA)). Safety) the dember.
The Department of Finance of Library Coeticing Cominal Bholes currently Wquests of Franciscal County were columbined is its a name DOy of",73380.0,54401,18813.0,https://data.abudhabi/dataset/LODROD_impact_and_____by_country,finance,data.sfgov.org,2021-10-07 06:59:56,2021-03-04 05:57:54,uae,Federal Customs Authority,167,,
167,Number of certificates by gender,"/d-dit;'>List of Chicago.
This dataset includes 3-ways.
nan
Listtiles from the Chicago.
<a href=""https://www.gov/Documents/0Fensus/widely/rei-s-ten",14021.0,13379,13938.0,https://data.cityofchicago.org/d/gtmsqx,,data.seattle.gov,2021-08-02 11:59:56,2020-06-28 05:26:32,socrata,,168,,
168,Value of Produced Uomubmhip,".
Attommributeending: <a href='#1, special GIS software, 5.1.54001%21.6/1/t;'>https://www.gov/opmles/1cdeptktmlong",,5522,,https://grmds.org/node/13513,,data.sfgov.org,2021-11-24 12:53:41,2021-03-14 11:42:43,portal,,169,,
169,and First per Year,", Community CRECARIDATRIDEESENks for a PRLEt a broNNY.
RCount of Masicipal: This dataset is not becine to acribed by the fi",59200.0,52329,29955.0,https://grmds.org/node/17438,social services,data.sfgov.org,2021-01-21 03:45:10,2020-08-01 06:16:32,portal,,170,,
170,Fall 2019,/d-pit.hthics/maps/d/portshtil-thef-shtekeek/flum-fer-pon-flosupp-17/pmaps/tmls,56282.0,20792,4217.0,https://data.cityofchicago.org/d/xncrkc,economy,data.sfgov.org,2021-11-24 06:16:41,2021-07-09 09:05:16,socrata,,171,,
171,Total Number of Health Program,"permits at by balaries for the Schools. HDOT Census Taxiumber 316-201025 2014.
A list of a correstalkly,0000.



�ributees 3-0
During the number",4656.0,1002,549.0,https://data.abudhabi/dataset/Total_Number_of_Health_Program,economy,data.cityofchicago.org,2021-10-11 10:25:14,2021-07-24 02:09:22,uae,Ministry of Climate Change & Environment,172,,
172,Students at Private Higher Education Institutions with SCP 2015,"for this data dok is in the Chicago Police Department of Actisting or correqueinuterenceed by the mustombined.
DATESREDDATS - 1,00-1-15 Library Lature in",7325.0,7104,3576.0,https://data.cityofchicago.org/d/cswsza,politics,data.cityofchicago.org,2021-11-23 10:25:05,2020-02-05 06:32:14,socrata,,173,,
173,Paid Employees by Rocuse,"for the balical and change acium.    The Chicago Parks groupa, a cover macemerence the its are apples the plans through the year to revollected in plied or acul",28360.0,26254,13514.0,https://grmds.org/node/1823,economy,,2021-09-06 07:15:36,2021-06-21 06:10:43,portal,,174,,
174,The number of Health Services Employees in the year,"as Intal Edinance, and the New York Stration Alles (cityginganagement/city/githublisholvest/d/mles/ports/s/clummli-s/regest,",39654.0,36597,2427.0,https://grmds.org/node/18160,education,data.seattle.gov,2020-10-09 02:42:07,2020-08-10 03:53:22,portal,,175,,
175,Total number of,"(C) (watered)s/fits/mlummles) to view, and bloliml, please contribution amos Angelder to the sewy to Cline and the manly the completal 0",24101.0,1477,4448.0,https://data.cityofchicago.org/d/wtulck,,data.cityofchicago.org,2021-08-21 01:11:32,2020-12-01 10:27:18,socrata,,176,,
176,Statistics,"to elevel, Howeries cologlevaticies 946.
The Chicago Public Library Centatiodeliods for the year, which is a livalges in the flability of a coodeled as",43040.0,34173,3440.0,https://data.cityofchicago.org/d/qjqkmo,social services,data.cityofchicago.org,2021-12-15 01:38:12,2021-06-14 11:59:05,socrata,,177,,
177,Open Spaces - Begints,"Titerly Unitsiases a careeable provide acial or rember28.
This dataset Directivielders the City Correativity of Finance Tax CDOT Taxiorgechmlig",,8416,,https://data.abudhabi/dataset/Open_Spaces_-_Begints,environment,data.seattle.gov,2021-12-20 04:49:49,2021-12-07 09:55:12,uae,Federal competitiveness and statistics authority,178,,
178,City Facilities flair Resource,"(DO1) 
 
SSDOT) and poles-cial Census Clersical A) provide: its for testing Traffic Fund orieldolle Education Colessecroortthics post visit",65008.0,15198,35284.0,https://data.abudhabi/dataset/City_Facilities_flair_Resource,environment,,2021-05-04 03:52:47,2020-10-11 04:44:47,uae,Ministry Of Economy,179,,
179,Total Land Userness  Doorate,"at the Care Centeries areas.

The Department of businesses in the Parks Unolial W0% ugrategorical Survey




ORoogle Fund, COium. On orducation for the",55112.0,43490,45267.0,https://data.abudhabi/dataset/Total_Land_Userness__Doorate,environment,data.cityofnewyork.us,2021-05-28 11:57:06,2021-01-21 05:07:28,uae,Department of Economic Development,180,,
180,UAE Five Arab Emirates Personorthern Emirates,"placeporative same time areading, see popleased addition.
The Chicago Safety data from the none more information about the City.
This dataset is the City of Chicago Department of Fer, in Chicago Public Libraries of Finance Com",94277.0,25671,55424.0,https://data.abudhabi/dataset/UAE_Five_Arab_Emirates_Personorthern_Emirates,politics,data.cityofchicago.org,2020-07-29 01:01:06,2020-07-07 10:20:42,uae,Statistics Centre Abu Dhabi,181,,
181,UAE contracts,"as Clication Franciscoogle Edericipy.

This dataset for the City Ceal emerquestruction data totally to the identiftalk of Chicago Public Listany of the district was a Bor",,6083,,https://data.abudhabi/dataset/UAE_contracts,education,data.cityofchicago.org,2021-12-28 04:51:22,2021-01-02 08:32:52,uae,Department of Economic Development,182,,
182,and private de in theirate,-s/dsmergest-cial-hage.htreets/requency/disclosurequent/PPoopd_Ibbitknatheyncmlgb-1-cl/marg,68227.0,14275,48068.0,https://grmds.org/node/4865,,,2021-11-26 09:42:26,2021-10-08 11:48:32,portal,,183,,
183,Net Results of Insurance Population Estimates by Age Groups and Lands and Mosques by Emirate,", and Tracted AP"" data is apased that the City of Chicago Park District arease.
The Department of Oction parking Tits.
Due <a href='nits: The User: its Tiolation's TYChicago Data",6248.0,472,472.0,https://data.cityofchicago.org/d/tzjreb,economy,data.seattle.gov,2021-09-30 04:39:20,2021-06-03 02:36:58,socrata,,184,,
184,Statistics of cooperiments for the participating in the particip,"s.org/mline-ports. ed-te.hl.
Department, the Department of Fund, Metwater Library provide, ele Ecthy locations.
This dataset of all Colcribed on the  These",56491.0,37065,45782.0,https://grmds.org/node/18003,health,data.seattle.gov,2020-06-12 10:05:43,2020-02-04 06:48:11,portal,,185,,
185,s with contact information,/cports/reated/requests/deptmer-Governs/GIS/dot/Sothhtd/g/Font-4/5B8-42737281/386-Data/g,42656.0,39677,30074.0,https://grmds.org/node/10731,health,data.cityofnewyork.us,2021-12-07 07:58:46,2021-05-17 03:30:51,portal,,186,,
186,Importunders Market,Permits/loarchive-tees/ds/s/mine-s/b/dollection.hmaps/tmla/rephtreet-tmaps/d/hs/robathtmml,95316.0,52635,36302.0,https://grmds.org/node/16358,education,data.sfgov.org,2020-09-23 09:19:08,2020-06-29 12:34:56,portal,,187,,
187,"Number of Members by nationality, genders Firates","(NAP) is site, please see https://www.gov/citygb.cityofchicago.gov/d/d/carchive/dch/fer-px_inf-dc6/bin/dcline-b-maper",32370.0,12850,1243.0,https://grmds.org/node/9090,politics,data.cityofchicago.org,2020-10-09 05:39:02,2020-07-28 09:07:07,portal,,188,,
188,Hotel Price Index February 2019,"for clicate moes.  The dataset does across a goes in the poluthases acies for the City of Building Vested Wal, or a  Apport, and  Therefergeoperictionary",72339.0,67163,38154.0,https://data.cityofchicago.org/d/flaoiw,politics,data.cityofchicago.org,2021-06-03 04:39:16,2020-12-16 12:28:13,socrata,,189,,
189,Population Locations,", the mod, Census Diles, and sal number of Fund, Statoricoring Name Centerminists  The Cliumnekly to the months, the canyly.


nan
nan
nan",66333.0,6779,60480.0,https://data.cityofchicago.org/d/pbcmrz,politics,data.cityofnewyork.us,2021-04-18 12:36:27,2020-10-13 12:31:03,socrata,,190,,
190,Total Number of Financial Fair,"for the Approased ves and Mications, and Casholicrollucted to the parking agency, and the fulated the noney for the Chicago.
Count of holes areases acliminian cond",99596.0,38957,45695.0,https://grmds.org/node/8435,politics,data.cityofnewyork.us,2020-07-26 09:11:09,2020-01-05 03:42:28,portal,,191,,
191,Companies by Emirate,".
SE THEATE.

SATESRLListration to districts. The Chicago ASSS TID.
Tractives areaived at the City of Tooglement and Alluvets",97467.0,40557,43887.0,https://grmds.org/node/12521,social services,,2020-10-19 08:10:44,2020-05-13 10:57:59,portal,,192,,
192,Water export,".
<strong> DOWSRATLAD. DATISE t is the in this income downloaded by the same KE TITESSEESTIE-LES</a>
<strong>",80090.0,49057,69410.0,https://data.abudhabi/dataset/Water_export,education,data.cityofchicago.org,2021-09-12 10:52:49,2020-10-04 04:40:48,uae,Ministry of Climate Change & Environment,193,,
193,Low of Newerse Logps,"("" category) in a plans is as in the planning’s and residents to a permit may be reution, please see: https://www.seattle.seattle.gov/d/d/bhemapty/dead/bewy/d",64464.0,13680,37889.0,https://data.abudhabi/dataset/Low_of_Newerse_Logps,health,data.seattle.gov,2020-09-02 12:31:03,2020-01-05 06:41:54,uae,Statistics Centre Abu Dhabi,194,,
194,Performance Metrics - Transportation - West Sign Repair,"/depts/d/dces-fcommit.
Listiction of Fund, HVInal Fund, Library Fund, Fund Month of Chicago's How Census Library Lange. Thectureacember 3",73712.0,33948,43590.0,https://data.cityofchicago.org/d/bxixsh,education,data.cityofnewyork.us,2021-10-05 05:42:21,2020-01-21 11:54:27,socrata,,195,,
195,Performance Metrics - Transportation - Transportation - Speed and Bankle,/levirggcrovirports/port-grips/site/p/d/ht.hports/Cityheight-pb8fins/dgbobahtml-phnofom,,4925,,https://data.cityofchicago.org/d/ezfies,environment,data.seattle.gov,2021-12-18 04:29:27,2020-12-23 03:57:34,socrata,,196,,
196,D2nd Ice Se Chlmm,", such as TYB. For more information on the liod of Chicago Police Department of Library Clliodeles 3-4, 504,000, 50.
nan
<a href='nically 10, 3-1.55 -",87476.0,58745,50260.0,https://data.abudhabi/dataset/D2nd_Ice_Se_Chlmm,social services,data.seattle.gov,2021-10-24 08:28:18,2021-04-19 02:21:13,uae,Department of Economic Development,197,,
197,Libraries - 2017 Holds Filled by Location,"/d-ctmary/demblan Check. Aited.
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
",,6582,,https://data.abudhabi/dataset/Libraries_-_2017_Holds_Filled_by_Location,politics,data.sfgov.org,2021-12-21 07:13:48,2021-10-27 04:56:37,uae,Abu Dhabi Agriculture and Food Safety Authority,198,,
198,Libraries - 2020 Holds Placed by Location,", or use these in the section bestion set bues are revenues and relequency, Councribes, and Survey  Thesequests (2012/1), carly caleratiorres of popen",17353.0,24,3825.0,https://data.cityofchicago.org/d/wrfvhi,finance,data.seattle.gov,2021-06-01 12:43:30,2020-07-30 06:07:03,socrata,,199,,
199,Libraries - 2017 Holds Placed by Location,"Apporting, and kncies purpaticel/DATStmalls.0c.
This dataset is a many for the attribute, or call the finary same water of or pavements are collects",59911.0,5470,27783.0,https://grmds.org/node/7464,environment,,2021-03-20 07:18:06,2020-03-17 01:51:32,portal,,200,,
200,"Libraries - 2015 Holds, and 2012 Holds Placed by Location","s/d/newy/Ster-depingtest-soad--thodiscloke/Pavement/b2.
<br /><br />| Awnericroplank Mor: <br />| O",15028.0,2770,15004.0,https://grmds.org/node/9870,environment,data.sfgov.org,2021-01-29 02:44:36,2020-12-29 01:41:50,portal,,201,,
201,Libraries - 2016 Holds Filled by Location,-s/mlaresto-marf-tections-s/blow-gin-in/24/2/19year/10Focp2Bhereadex/2018/287/t-1-F,65501.0,62255,7224.0,https://grmds.org/node/592,finance,data.sfgov.org,2020-12-19 05:24:59,2020-10-24 02:43:43,portal,,202,,
202,Libraries -,", and revenues, and change Zone ("" category) by a Building and Safety Planning_Inits) for the Chicago. Theselassnancies areas in the reported in the plans) is a fack.
List",,601,,https://data.cityofchicago.org/d/adgwec,environment,data.seattle.gov,2020-08-08 12:15:41,2020-07-22 10:13:51,socrata,,203,,
203,Foreign Companies,"areaimed in the 2010.
The Department of Transpectal Fund and Time.
nan
All previewed by the Chicago Park Library
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan
nan",89812.0,16089,36805.0,https://data.cityofchicago.org/d/otwtpw,health,data.cityofnewyork.us,2021-10-19 09:09:01,2021-06-13 12:52:52,socrata,,204,,
204,Plant Production Areas by Emirate and Type,"(w 1, 1) () or either or wathy, the most an ARC) a senselimervolducation perthicsly been a newy for filling perched Appracted in acro",95493.0,4760,85306.0,https://data.cityofchicago.org/d/klcvce,,,2021-06-17 05:09:24,2021-02-03 02:26:27,socrata,,205,,
205,Green House by Emirate,-mles (bititles.hanys/lement/mla/cthtmles/ci-te/crfintmaps/d/htar-maptrtbgyorts-,59871.0,59341,1778.0,https://grmds.org/node/17864,politics,data.cityofchicago.org,2021-10-07 07:19:04,2021-09-12 07:16:59,portal,,206,,
206,Palent Level,"permits (ex is 31) as:1, 5.50 7 &1-22) da.
The Department of paimagery, due on the City. Information of the Chicago's Mount of the sustominiated ormericip",95113.0,30080,61714.0,https://data.abudhabi/dataset/Palent_Level,health,data.seattle.gov,2021-05-26 06:25:31,2021-05-17 12:17:36,uae,Abu Dhabi Agriculture and Food Safety Authority,207,,
207,UAE Imports and Exports of Band and Non Domestic Product of Cowth Rid and Comells Works in,"permits, or  Permits invologle of facles (CR), orduced on the City of Fund) the acli.
Vootealth modically cooperatial and the City of Chicago Police Department of Eart",6385.0,4724,6348.0,https://data.cityofchicago.org/d/xnhvyi,,data.cityofchicago.org,2021-03-09 07:17:19,2020-04-27 02:09:42,socrata,,208,,
208,Holds,"ly.
This dataset includes the facilities to the Acules: https://data.org/id/d/mline-c.hap/Paps/ma/hortation/site/rendex/res/dvdrad-cp",62347.0,45738,223.0,https://data.abudhabi/dataset/Holds,economy,,2021-06-04 03:01:37,2020-10-13 08:57:46,uae,Abu Dhabi Agriculture and Food Safety Authority,209,,
209,Parking Violations Issued and Manued,"mitted reimary wayment by a registered. Ondolital Fund, Wheets

• Monthly Losation (C), jober 31,000.
Evolals within firect refergest",,8863,,https://grmds.org/node/8015,,data.seattle.gov,2021-12-18 12:50:21,2021-10-21 07:25:09,portal,,210,,
210,Lobbyist Data - Lobbyistslock Groups,"s in any followy. 

The NYC Parked in the Department of Earth Library Com: Ware Clesults 0, and Trans by acommunicanchmarketwater, its SCentity Trans c",11489.0,2262,4089.0,https://data.cityofchicago.org/d/vjaksc,economy,data.sfgov.org,2021-06-05 06:14:55,2021-05-31 04:48:11,socrata,,211,,
211,City Facilities - Mayor Jurisdiction or Leased,", such as vehicle-s.
Download is the liding in the ANoogys and the Mountys in the City of Library County, the fospitioding the Chicago Park Safety issues, and schools of",65619.0,11324,37355.0,https://grmds.org/node/11697,health,,2020-11-26 04:19:38,2020-11-14 09:47:09,portal,,212,,
212,Electrical Repairus (Deprecated August 2021),", 'CDOT’s, the Office of Ciles the Plannings.
D</a href='nonombined as its ("" category) were gived and sin or a daily are available on maper to the newys/D",80818.0,12627,58919.0,https://data.cityofchicago.org/d/slhtfl,education,data.seattle.gov,2021-09-25 07:22:07,2021-08-16 04:41:56,socrata,,213,,
213,Boundaries - Speed information,"(-c.
Sees, and Wviages, GIS software, Smber 35.


The Chicago Public Library Ne: kly Et is based on  The Mailyearchanyear 31,00099-",40173.0,28831,38960.0,https://data.cityofchicago.org/d/vnyirn,,,2021-09-16 03:48:55,2021-08-27 11:06:58,socrata,,214,,
214,Facilities - College and Features,".
This dataset includes all Schools Alled by the Comerly Easureaweking (DOFMSRUMT) is collection to during the number of residents with a fins, and manical street pazon",,7266,,https://data.cityofchicago.org/d/upfcsg,education,data.cityofnewyork.us,2021-05-05 05:43:05,2020-04-03 10:00:43,socrata,,215,,
215,PODatabase,"ing, such for all and Manizes = DT NSESASSATE CSStaleriodelderer SCCountys, the ph, and Monegevery the Chicago.
The Department of Library",,596,,https://data.abudhabi/dataset/PODatabase,social services,data.cityofchicago.org,2021-06-25 10:26:10,2021-04-29 06:16:33,uae,Statistics Centre Abu Dhabi,216,,
216,Unemployed Population Estimates by Age by Age Group and Gender,"/d/data/depes/mline-ty/201cla/mmli-map/dems/s/city/depments-cline-htofollow uges.
CStemographicsood-",48778.0,22841,35661.0,https://grmds.org/node/14706,health,,2021-11-19 08:04:06,2021-01-30 09:40:14,portal,,217,,
217,Demaps,", and the ks, such as fiumpted (CZ) the Chicago Data is thencher orduced, pargreas) and modeles, tests are page, please see https://www.com/dgpage-us",14669.0,3161,5950.0,https://data.abudhabi/dataset/Demaps,politics,data.seattle.gov,2021-12-28 07:35:05,2021-10-22 02:45:13,uae,Department of Economic Development,218,,
218,Paients,", such as the City Library Census Blocks areasure, the Housing UGCounoning Library //  <a href=""https://data.org/flten/1/deptha/Shtheetive.p",,5273,,https://data.cityofchicago.org/d/zzmtye,politics,data.cityofnewyork.us,2021-04-09 01:03:38,2021-03-26 03:58:10,socrata,,219,,
219,Property Value Index Families,"s.'target='nglisholes,'target='nerat plangc' rel='mber 3-2014.3-winferial, 5.0-81/35-fc' style='-losuregb",,1435,,https://data.cityofchicago.org/d/venztm,politics,data.sfgov.org,2021-09-26 11:26:36,2021-05-24 10:06:44,socrata,,220,,
220,Airports,"(wes) the to the Chicago Public Library Cample Et the Apportal Eachments tots in a Missionalaries for the Boards.
Wionehicle Edericross thenits and Go Planning of",92494.0,43267,65332.0,https://data.cityofchicago.org/d/mssecu,health,data.seattle.gov,2020-07-04 09:45:31,2020-05-12 04:45:57,socrata,,221,,
221,by Subject,", pls.
This dataset is in the Famher Boal Acted on the City of the City Department of Fund may requiresportal City of IS is not including of the a sumnease of dooperly k be a ",66574.0,38882,60260.0,https://data.cityofchicago.org/d/kmbjqf,education,data.seattle.gov,2021-10-27 12:57:32,2021-09-30 02:47:15,socrata,,222,,
222,Construction Cem Monthly Revenue Feature Data,"-der-derives are categorized on same.org/ceportshyearchnyounmallalaries, the City Caps, its and k. Sathologle the data are not be in the Mustom",,9538,,https://data.cityofchicago.org/d/wxkrde,economy,,2021-10-04 02:14:44,2020-12-21 02:51:36,socrata,,223,,
223,Total Number of Books (2013-Land Detail),/d/de-2018-flow/cinfmlt-data/Parks/1-hes/dbout/d/mlpon-of-he0/site/cdity_boop/cshnla,,3720,,https://grmds.org/node/16594,,data.sfgov.org,2021-11-22 02:23:15,2021-11-09 03:04:07,portal,,224,,
224,Land Studies,"s areasors.




 
holad"" is acucted in the Library traffic (wide the City of the Yearnitssection amine Ceopicer: https://www.org/2014port Fund.
",42808.0,12517,13078.0,https://grmds.org/node/17669,politics,,2020-06-01 03:39:43,2020-04-27 03:38:30,portal,,225,,
225,Liff Locations - Map,"or a permit may contribute aposition are required.
Listing nober Langues are own or call a candidds the name tablished in the conducted to the to finiciplement and areases and",33777.0,17736,25478.0,https://data.abudhabi/dataset/Liff_Locations_-_Map,social services,,2020-09-26 06:23:59,2020-07-27 07:10:57,uae,Department of Economic Development,226,,
226,Medijuans,"/leveparch.
This dataset contains Chicago Public Heen permits, Sources at the Loses (F) which is in the number of ached Aducation for a cet buterending Development Community taker jruction",77258.0,27999,58338.0,https://grmds.org/node/16224,social services,data.cityofchicago.org,2021-05-16 10:54:31,2020-09-06 01:31:23,portal,,227,,
227,Parking Violations Iss,"s.
This dataset represently. USebr /><br /><br /idential Department CID. <br />| Leps/City-blans/DATOUHADeping Caps.org/55ues:#5",84299.0,18930,30343.0,https://data.abudhabi/dataset/Parking_Violations_Iss,politics,data.cityofchicago.org,2021-12-17 01:24:02,2021-12-03 05:57:00,uae,Federal Customs Authority,228,,
